id,evaluation
27031959,black
15035769,equal
4069659,black
432392,equal
18721578,black
9127650,white
35210890,white
29612169,white
3837434,black
30072513,equal
23818025,equal
30998853,black
28868316,black
14234822,white
25772589,white
13597095,black
3560662,white
27266362,white
15489522,black
8217899,black
5284216,black
15515785,equal
19148193,white
11642915,white
4191967,black
35405843,white
3223561,black
24015163,white
9240848,white
36644588,black
32327653,white
13573163,white
5127499,white
33085063,black
16596722,white
35401137,black
14716563,white
10719102,black
4423272,white
30769617,white
30602786,equal
32928930,black
34548525,equal
29473287,white
9820944,black
31467955,equal
34709765,white
14218680,white
14311747,black
20855586,white
3760695,white
6342530,black
1745436,equal
1439983,equal
5140113,black
30645228,black
31383151,white
22978927,equal
411784,equal
5020798,black
35524541,equal
8915942,black
31222046,white
19616602,white
7621884,black
14941358,black
10944065,equal
2528609,black
34471537,black
17410706,black
11241986,equal
23027193,black
6951048,white
747584,equal
24986501,equal
13809424,white
4616027,black
9118352,white
1670689,white
17561809,black
25738737,white
24873987,white
13104076,white
23326499,black
10846721,white
16737645,equal
4688533,white
10797484,equal
29229435,white
22753689,equal
14968487,white
29290727,white
17699993,black
19877262,black
14150665,white
6873568,white
33234201,equal
31868146,white
27856055,black
15753884,equal
31731348,equal
1781776,white
30307482,black
6244454,white
7145648,white
27788560,white
15208767,equal
24711859,equal
10586454,black
22161485,white
16797683,white
35721261,black
10028247,white
10608950,white
35436666,equal
28365042,white
4192399,white
3455699,equal
14669886,equal
20234641,black
10683572,black
16186868,white
20403385,black
19193092,equal
33634459,equal
24710093,equal
7733036,white
1112659,white
9532602,equal
31200618,black
11569533,white
20978044,equal
23143609,black
7070331,equal
5643993,black
27112667,equal
31515581,equal
32490645,white
7013625,white
10168326,black
19420129,black
5668381,equal
4608143,black
5197760,white
22682711,equal
2274361,white
15344948,white
20383380,white
16805522,white
3736030,black
20098135,black
31034797,equal
8679192,equal
7048497,white
30020354,white
34712625,white
24664599,black
321203,black
4276507,white
27854783,equal
37127707,black
9890536,equal
19740272,white
2077108,black
24793830,equal
23267244,white
4001115,white
20539089,equal
13893213,equal
2669637,white
20373144,white
8778766,white
29038374,black
12806100,equal
25754247,black
26445787,equal
35844869,black
34537625,white
10053708,black
3965730,equal
19566384,black
13181988,black
8372855,black
30995732,equal
12631343,white
11563694,black
30226245,equal
33691661,white
10863796,white
8753724,white
15834722,white
14450232,black
15862607,equal
10905782,white
1304823,black
27799619,white
33889881,white
36313757,black
7156631,black
28224246,white
3998567,black
13827554,black
5697131,black
25804110,white
12208714,equal
4874472,black
12437744,white
7895670,white
3297345,equal
36435798,equal
10639674,black
33663430,white
33066887,white
7943883,black
31043669,white
597639,white
14801803,white
12781979,equal
27897902,white
11652593,white
30182668,white
20145234,black
23502142,black
21705956,black
3100920,equal
16421552,black
18928517,white
32544005,black
18530159,black
34725014,equal
30416100,white
11548575,equal
15615617,black
26207606,black
29451515,black
17439828,white
12081946,white
31857663,white
7911517,black
34458127,white
17225095,black
19787040,black
2165957,black
9295532,equal
2390427,white
6554288,equal
2549862,black
31484788,white
17710466,black
10620934,white
19755682,equal
18864501,black
14608338,black
3823098,black
14640134,black
28864791,black
13897661,white
33797172,black
29884610,black
29407143,equal
18090422,black
24791230,white
17764254,white
32068979,black
29739234,black
33194475,equal
28959557,white
28030454,black
442485,white
21866607,equal
942294,white
1895499,black
18292941,equal
15894442,white
24738560,white
21728714,white
9060896,white
19830671,white
33995551,black
25031025,equal
36130061,white
29794137,equal
17965770,black
15196441,white
35792468,black
16133556,black
31353900,black
7293594,white
20980189,white
33739491,white
21634039,black
10893250,black
12128579,white
32258390,black
13991953,black
19976817,black
4946489,equal
30701635,equal
14486585,equal
9384147,white
17085852,white
36876461,black
31860687,white
19670154,equal
31411126,equal
34971860,black
36370107,white
4101003,white
32372508,white
28048729,equal
23948268,black
4784474,black
27792656,white
13451734,white
21924066,black
17827848,white
25192793,white
13829901,equal
18052390,white
27062464,white
29464398,black
11437802,black
114100,white
9929066,black
17118193,white
11394368,equal
3743331,black
2738245,white
30616662,black
21863620,white
14284485,black
17212423,black
33387654,white
27048688,white
24575968,white
2440915,black
18027668,black
11461998,black
5798982,white
34719695,white
5266067,black
34121521,black
22158967,white
17328260,equal
23298451,white
1881281,white
2074401,equal
2511728,white
11189708,equal
32011065,equal
7306234,equal
35674316,equal
20269228,white
16553864,white
21458311,white
6746271,white
23207125,equal
22092518,white
11645986,equal
7828199,white
536649,black
30768544,white
14123398,black
13776762,white
22626630,black
16563533,black
9500396,equal
6014266,black
16512802,white
18649492,equal
22689965,black
6000910,equal
32339617,black
8398014,equal
7478931,equal
8003896,white
26857782,white
18096185,black
4156295,black
15385989,black
9889473,white
3071457,equal
35305183,white
15431417,black
29172656,white
3046761,white
19251679,white
12514625,black
33237373,equal
22507686,equal
13041162,white
34676040,white
23568267,equal
20099387,black
26776589,white
31739260,white
2157346,equal
21377448,black
31143087,white
33964721,white
10606963,equal
13190304,black
34189760,equal
391646,equal
36936416,equal
30995689,white
28234529,black
3990956,black
9074474,black
24681187,white
31617398,black
1809506,white
13873166,white
24254366,white
16829586,black
5992917,white
9141473,equal
15539411,equal
24073295,white
24087886,black
11577127,black
1193934,black
9783478,white
20142236,black
16920471,white
31006813,white
32284722,black
14614320,equal
10467109,white
28694027,black
23559123,equal
35455224,equal
28369423,white
14297360,white
6467479,equal
5246789,white
21173535,white
13745010,equal
5761074,equal
24356202,white
35882062,white
22247092,black
28246247,white
541780,equal
11659634,white
28905737,black
16634277,black
36894882,equal
30790944,equal
15332962,black
12655097,black
31646285,white
37126495,black
28510902,white
26471818,white
5472478,black
34450704,white
5153353,equal
22216553,black
29641850,white
26676017,white
6959872,black
8262903,black
16457095,white
32156003,equal
4808706,black
6098744,equal
7182531,white
31874278,white
20437879,equal
18466715,white
24771881,white
12770619,white
19520317,black
24476882,equal
25629226,white
25205262,black
12200856,black
30478119,equal
7888803,black
34211257,equal
23862899,equal
27790480,equal
702107,equal
16115943,black
29209440,white
20649753,black
18996882,white
16891929,equal
19157644,white
24449840,black
1714903,equal
11270996,white
13861552,white
13610898,black
29526178,white
4248476,black
36937046,equal
37035599,white
31264563,equal
5060129,equal
21891145,equal
26033837,white
2152893,equal
18572259,white
33526021,white
8024591,equal
22374102,equal
22441451,white
4108868,white
31134603,black
11614645,black
17311290,equal
20627856,white
25635236,equal
24532869,white
6027860,black
4044730,equal
36483661,white
32437524,equal
32552344,white
25874038,equal
413219,white
34984218,black
27318300,black
10724248,white
31919867,black
17906756,equal
18542585,white
27161268,white
31151683,white
5985711,white
27989085,black
24121385,equal
36144806,white
8072822,white
25326266,white
2304410,white
22520442,black
9212209,black
7266438,black
28595090,white
814880,white
10660071,equal
23867400,white
27206882,equal
1983986,equal
6546852,black
13866478,white
11216882,white
2486453,white
25388642,white
34803421,black
8670600,equal
12291128,equal
2131766,black
2753799,white
13702905,white
19067119,equal
16782032,black
1429689,equal
25302017,white
26309653,black
29499654,equal
16225409,black
15807114,black
29818923,equal
33601040,white
25006649,black
25830587,white
8290596,equal
35704440,equal
1814079,white
423925,equal
4862013,equal
25978853,black
16622451,black
31971497,equal
8815883,white
15071680,black
6135217,equal
12696383,white
20813918,black
12068847,white
11984268,white
34469350,white
19604273,white
19354345,white
27493168,white
8664857,black
3695193,black
7119602,white
19231801,white
36418948,white
27912200,black
29465725,equal
7513819,black
19280919,white
5943719,black
26978902,black
23383849,equal
13305399,black
22692488,equal
2184569,equal
12871971,equal
19630864,white
5820017,black
34353172,equal
21333203,black
21821547,black
12707918,white
10078104,black
31502097,white
29388377,white
28251607,black
1146503,black
36130447,white
12999762,black
18616387,equal
18818120,white
4550195,white
7867189,black
26433190,equal
5480371,black
6567512,white
27195458,black
325746,black
3193980,equal
19044490,black
25533724,equal
14336416,white
17218925,white
7498179,black
36505955,white
20198487,equal
14642402,white
29085793,white
29083968,equal
9664220,black
10112440,equal
29955897,white
1150758,white
6777531,white
14391731,white
10249020,white
20795139,equal
16427825,white
2775124,white
1215282,white
15779091,black
28375653,white
15408741,equal
19078042,black
4976483,white
33968826,black
32488516,white
9413360,white
32947657,black
2853281,white
10658905,equal
3790041,equal
26679551,equal
18303259,equal
15149668,white
24165584,black
22144680,black
31335078,equal
28753589,black
4745928,black
5052841,equal
4966970,black
3078478,white
6027614,black
31828558,white
952477,equal
17533544,white
10749323,equal
36685273,black
19617921,equal
5503768,white
18621025,black
28192238,black
28722207,equal
4419429,white
543640,black
24225578,white
30745417,white
7710830,white
32837889,black
32321291,equal
20972010,black
35200223,white
1975234,white
15878962,black
7678058,black
3317075,white
29087714,black
7483828,equal
19294834,black
24623483,black
32717246,black
1574665,white
28949814,white
11433175,equal
6365719,white
27349496,white
3798,white
22128222,equal
29590945,white
5532340,white
33693730,equal
20878826,equal
11437619,black
20285984,white
6623901,black
14577844,white
36649580,equal
8791993,white
4248527,white
16172272,black
4648254,white
23885361,black
15655903,black
4987835,white
4997817,black
34734931,white
5749631,black
27548940,white
2804293,black
26217556,black
13642461,white
10980137,equal
33098977,black
11947760,white
16131551,equal
7681304,white
36957308,equal
18967250,white
23901635,white
3436128,equal
23996186,white
3332268,black
27176946,white
10643854,white
12883500,equal
32843269,black
10555305,white
12244466,white
8842862,black
30788685,white
184316,equal
16193554,equal
3363679,white
20508009,black
17790146,black
27012791,white
17047262,white
5830715,white
23250224,white
20585887,equal
25351931,equal
508797,equal
7089436,black
31246442,white
21400671,equal
1965841,equal
719554,white
9368318,white
12867156,equal
11533310,white
22787096,black
23204667,equal
32012898,black
29922299,equal
26498142,white
31365739,white
8301914,black
27825828,white
24589264,equal
20806037,white
8922180,equal
4207259,white
24225034,white
6995013,white
13236798,white
25127765,white
12036823,equal
20616253,white
23849124,black
20030744,black
24867687,white
18458493,white
28510176,white
9059079,black
12582587,equal
1820307,black
36418646,black
2524612,white
28721541,white
27187773,white
1102797,equal
29998665,white
15799895,black
22930384,black
17687477,equal
2784912,white
1916085,black
16490544,equal
20438717,equal
37020054,black
9524433,black
21826247,white
834631,equal
27116692,white
10701599,white
14098599,white
24007546,white
31257610,black
14697493,white
15943077,white
28087043,black
2514968,equal
23120275,equal
26517614,black
28384830,white
12574156,black
13197652,white
519539,equal
25679180,equal
2491178,white
27824310,equal
14109945,black
3251015,white
32212602,white
15418132,white
7901041,black
27085116,white
31324223,equal
12933508,black
2375278,black
31322665,black
7213570,white
34604830,equal
21467038,equal
34060905,white
28133097,equal
21814793,white
9347375,equal
17429724,white
8661498,white
22518397,white
31160108,black
8120330,white
37043839,white
7399026,white
2157816,white
16817178,equal
35898080,white
3303787,equal
1563563,black
4395970,black
17773149,white
21556173,white
23244020,black
19110057,white
4816307,white
7444139,black
16299045,equal
15821354,black
15796990,black
9419786,black
10923724,equal
26473027,black
17892118,white
36739021,white
28466644,black
14693978,black
21622049,black
12544165,white
25139850,white
19661653,black
9545732,black
27341592,black
19053206,white
14617155,white
21558279,equal
13659657,black
9338287,white
24197771,white
36304818,equal
31787423,white
16462436,black
6474546,black
20909799,white
8879861,white
11857196,equal
33516318,white
37104717,white
10965478,white
29933677,white
23529266,equal
6225154,equal
24176917,white
25288373,equal
16892621,equal
20190,black
25380197,white
33806677,white
13610431,white
10749271,white
12201302,black
6734660,white
34245507,equal
29756327,equal
20130791,white
665456,equal
31958383,white
23923813,equal
22400611,equal
35662187,black
7223343,equal
15680114,white
24159429,black
30986381,white
30797012,white
18794944,white
3610500,white
23894706,black
27430152,black
37152566,white
23849954,black
32163393,white
24777137,black
28761872,equal
29946141,white
14585959,equal
26480508,black
16447350,equal
16516936,white
3327872,white
8468828,equal
25165811,equal
34401260,white
11401282,white
28554816,black
21164315,white
5587437,equal
14705829,white
29616924,equal
30392869,white
6892827,black
30315904,white
5440413,black
12000550,white
20582556,white
31944078,black
15292099,black
5183219,white
30856950,white
13287552,white
27930371,white
8825680,white
1608069,white
20126378,equal
5279857,black
24004528,black
36770613,white
8246109,white
32750453,white
5036474,black
12272830,white
2482188,equal
22803883,black
4103710,white
12082373,equal
2345299,equal
14174979,black
14800711,equal
14021410,black
24422670,black
19904590,black
34923224,black
15220457,black
7969178,black
29237056,white
555363,white
31711890,equal
9773207,equal
28322642,black
10942559,black
30973038,equal
22340491,white
22032849,white
15511937,white
12285790,black
4352029,equal
34691824,white
15505028,white
15706930,equal
35703001,equal
2115454,equal
8818462,equal
6460727,white
24947872,white
4396500,black
27782387,white
13099339,equal
32214619,white
27856311,white
28746305,white
10303871,black
11666470,white
1844122,white
15419278,white
2338540,equal
20107220,black
21281683,white
11182783,black
5573630,black
18546673,white
18461811,equal
27571018,black
1758318,white
33258269,black
27367086,white
13017998,white
3087659,black
5733184,white
6182037,black
4763013,white
1435469,black
9283234,white
30459884,equal
13190945,equal
14978499,black
29977227,equal
4559012,white
22986713,white
332548,white
35885226,white
1157434,black
33845233,white
21214485,black
14136341,white
36240577,equal
1631503,black
28254543,equal
1524965,white
27255530,white
29333530,white
24815528,white
1958575,black
30887467,black
21734546,white
31917657,equal
30826737,white
24563208,black
28287059,white
35270112,black
28020399,black
1036230,white
34050393,white
4934252,white
18150717,black
20286856,white
3063598,black
19311320,equal
35089945,white
17517788,white
30361370,white
24504986,equal
24145574,black
547525,equal
11115335,white
29595512,white
19808318,white
34243943,black
1915542,white
3716961,white
15609259,equal
31215203,equal
22120317,black
32086088,equal
17386777,white
10150459,black
7795644,white
2436820,black
11941167,equal
18663202,black
8599466,white
8101609,white
34264478,equal
14888748,black
6420552,black
13717187,black
4161040,equal
15056261,white
2822137,black
11643540,black
28193743,black
30159446,black
13553092,white
7505619,black
18387761,white
15003891,white
2119853,black
33516997,white
3272691,equal
5400667,equal
29841674,white
35115609,white
4503460,black
15255342,white
24373891,black
33261567,white
15894963,white
15675585,equal
31513858,white
20976019,equal
21087471,white
30592986,white
21016940,white
19731920,black
9061257,white
30384336,equal
35871195,white
21501896,white
28396067,white
10698994,black
35624103,white
27538113,black
6093448,white
32095336,black
5168270,equal
9440462,white
21350179,black
30227667,black
15315313,black
12542065,black
33614462,white
20633305,white
18374798,white
6629992,white
16706967,white
5668069,white
4478667,white
13032003,equal
21788976,white
21580366,equal
4430506,equal
20865736,equal
26539287,white
29333822,equal
1023693,equal
28929068,white
16330560,black
16921509,black
34999635,black
12416527,equal
24041494,white
672387,equal
2175164,white
24816879,white
10898360,black
13429449,equal
3971988,white
29884935,black
28245451,equal
15947181,equal
22808289,white
14561675,white
23278875,equal
11357677,white
13702298,white
21346913,white
23213388,white
15692448,black
13713868,white
1710171,black
37122468,black
19895886,black
3236397,equal
3617110,black
4131184,black
22134554,equal
12935569,black
11086641,white
20512036,black
12271118,white
21810496,equal
28412530,equal
25871381,white
23689683,white
27944127,equal
18817989,white
1290878,black
2785498,white
21123409,white
4117825,white
37038709,white
15309583,black
6285919,white
26634895,black
862321,equal
10187520,white
18594810,black
701094,black
10579381,black
10662449,equal
8743019,equal
8261119,equal
34667465,white
23491173,white
10454057,white
15932439,white
4803735,white
4409119,equal
33506939,white
8315364,white
20846731,equal
4258163,white
29853473,black
24269605,black
4512837,black
8930452,white
19063136,white
50001,equal
28958082,black
19719520,equal
36745652,black
19894029,white
32537124,black
36368074,equal
14529635,equal
5470812,black
36177706,equal
36831594,black
21530030,equal
36467772,white
13745656,white
24069777,black
15611160,equal
14362324,black
12824203,black
34415961,white
6256414,black
19072323,black
23112571,equal
21764739,black
7406010,black
30749177,equal
7403948,equal
10266905,black
24986416,white
28057584,white
4449067,equal
27496116,equal
6691715,equal
33372662,white
13769440,equal
32026935,black
23301061,white
12142891,equal
33577585,equal
30350211,equal
1419335,white
22053664,equal
33245438,black
29029319,white
21896549,black
16214046,white
3443861,black
20788094,black
17178831,white
9451809,white
18078547,black
26675613,equal
35461391,equal
14862232,white
13891168,white
34071631,black
32408432,black
12691803,black
20269854,white
20460954,white
33014466,white
17126255,white
7556041,equal
22304257,equal
3586105,equal
10490096,black
15350911,white
33838775,black
15672782,equal
22325697,black
2492404,white
858640,white
21619800,equal
9946031,white
27632012,equal
28937198,white
1010349,black
3053221,black
2066718,white
26680941,equal
3434561,equal
25848558,equal
10505848,white
21403220,white
6952388,equal
18433079,black
7775194,white
1528538,white
31141790,black
843034,white
791874,white
31511973,white
30257446,white
21430560,equal
35312329,white
33747662,white
10366832,equal
18106452,white
30117210,white
21153910,white
2380328,white
13600965,white
28110364,black
13434309,equal
13931547,equal
12593397,black
33255139,black
35258260,black
36127910,equal
6589694,white
11151628,equal
8157072,white
34654112,black
2093663,equal
10870384,black
32642974,white
33791796,white
4843378,white
9237606,equal
12710576,white
22958781,black
21414214,white
8909262,black
11846544,black
33113829,black
29215395,white
21852337,black
9278789,white
1090002,white
19090024,equal
17329914,white
5650420,white
1910042,black
11977098,white
29692701,white
4442061,black
10761513,white
16639263,white
7048896,white
28744026,black
1333481,white
29819065,white
5946412,white
28948680,equal
2726712,white
31393512,black
36704506,equal
11379697,black
12147867,black
28071618,white
31179870,white
29153708,equal
24013518,white
10180923,white
21564830,black
26711099,black
7765712,black
3007145,equal
19456463,black
4772461,equal
29667898,white
28438300,equal
19735673,black
35543699,black
24505085,white
32164516,white
4676108,white
10323072,equal
17222603,equal
21996771,white
5021030,black
36706864,white
12010287,black
29750021,black
16072941,black
18557588,equal
8721627,equal
31434674,white
34600130,equal
4477308,equal
29018774,black
15222995,equal
13668263,white
36377025,equal
19050711,white
10436426,equal
25536064,equal
15434043,black
23726746,equal
61376,white
26843866,white
19308437,white
23723060,equal
27947180,white
6470764,equal
9020096,black
20970878,black
10342729,white
24850716,black
7572251,black
12384377,white
3625742,black
12086704,equal
8605130,white
29018308,equal
25857671,black
25475275,black
34269715,black
29096243,white
34402326,equal
16281088,white
25766914,white
11739350,white
9394653,white
7049804,white
5081288,equal
23566710,white
36753474,black
2764806,white
34327753,equal
27803670,black
7826610,white
21519257,white
19590189,equal
31818550,black
3813829,white
17338962,black
5813830,black
23306779,black
12953008,black
19782621,equal
31425596,equal
2291689,black
26119269,white
5188394,equal
26672477,white
26097218,white
37011720,white
20004938,equal
17529314,equal
8832147,equal
10442383,white
8423768,white
3998849,black
35224357,equal
34343754,white
23683156,black
30078641,white
23597211,equal
25491258,equal
3337144,equal
20107041,equal
875315,equal
14231760,white
20724009,white
32994189,equal
23186961,black
15850375,equal
24551015,equal
15326584,black
19438833,white
19114762,equal
33556381,white
17124486,equal
13973816,equal
27889678,black
14749757,black
17793412,white
11157053,black
32891726,white
22066632,equal
3904651,equal
10372249,white
11488963,white
12488235,black
26444411,white
285167,white
23966995,equal
5164076,white
6217895,white
19765666,white
34620204,white
15656951,equal
20095314,white
19702579,equal
6690451,black
2424821,white
580473,equal
27992549,white
36012559,equal
32161277,black
2590929,white
11279500,white
19079406,white
31667071,white
15334148,black
29523321,white
8613796,black
9548047,white
17669282,black
17566817,equal
31947487,white
17872641,white
3447097,equal
29478169,black
13010306,black
18446765,equal
32052776,equal
20292979,white
35088792,equal
31289423,black
9028903,equal
8433545,black
3786792,equal
913124,white
13518159,white
24562151,equal
14133875,white
13086221,equal
9682976,white
11662536,equal
17771615,black
9863573,white
29377182,white
7852048,equal
33421854,equal
28239126,equal
29287911,white
13487372,black
16165464,black
36858009,black
14495874,white
12347937,white
37090130,equal
31667184,white
432474,white
28249759,black
11369736,white
7203189,black
5193353,white
9793078,white
7147665,white
28841434,black
30143966,white
25969833,white
36639657,equal
29083323,black
32862846,white
31064898,white
33702344,equal
32024701,white
23139863,equal
16239620,equal
17320982,white
36153467,equal
33326768,black
9601526,black
30409951,white
22952143,black
22932988,white
36843301,equal
14964291,equal
14242830,black
11904185,black
1350103,white
22346252,black
19609389,black
19588638,white
2859147,equal
34183279,black
2704504,white
34311832,equal
226162,black
1772353,black
8338354,white
27132878,equal
25524125,black
20893380,equal
15522680,black
36246161,white
19613901,white
23871817,equal
19683464,equal
1157560,equal
24855883,white
33038222,equal
28638562,equal
17247471,white
22610302,black
27516479,white
29556312,white
27508350,black
17803313,black
20030632,white
20115302,white
24421076,equal
32978893,white
14012068,black
13495132,white
9569099,white
2668285,white
22699456,white
21832133,black
8348089,white
5834899,equal
9829260,equal
18717586,black
6031043,black
33464715,black
12222671,equal
27142609,black
5069537,equal
15008649,equal
14371059,white
23253784,white
5996584,white
16692623,black
28781943,black
4224984,white
15350187,equal
17041240,equal
10997968,equal
8490845,black
29322462,black
15467870,white
12373868,white
5632512,white
12668061,white
9706051,black
30945041,equal
9087525,white
31131287,equal
26762995,black
58944,black
16982433,white
22880433,equal
12600215,black
22886185,white
14183871,white
2788930,white
7029809,equal
1116191,black
7058993,black
33114441,white
32233236,white
3688924,white
12871035,equal
18339410,black
18311175,white
24325682,white
29918496,white
1795320,black
16571730,white
7472493,black
33972789,white
9901649,white
8095031,equal
8879587,black
4135500,white
28233340,white
21916023,equal
18803132,equal
15755464,black
36086443,equal
30813100,white
21332702,black
13989333,white
17294432,equal
9850466,black
34887004,black
20074839,white
3779536,white
544367,white
26816860,white
1623312,equal
24846022,white
6121940,white
36999443,equal
30904193,equal
27935372,white
5887267,black
932686,black
6398766,white
36148916,white
707917,black
35917144,white
8789665,white
22422760,white
21028728,white
15757223,white
4857526,white
8776894,white
23371460,black
4830025,white
8830780,white
30161124,white
29006099,white
33673603,black
32748716,black
4845330,white
33317909,black
29145240,black
12520089,white
2045607,equal
15321482,equal
7743431,equal
11996121,equal
30877465,white
25633778,equal
1458245,black
4131735,white
34160322,black
20901557,black
9773593,black
28805790,black
28096036,equal
6197795,equal
21752291,white
11306167,white
30230232,black
2661149,equal
5157939,black
26062546,black
28092363,white
16949333,white
26853196,white
14379372,white
31100653,black
21981581,black
34301107,equal
7032108,white
30909553,white
21807253,black
3548219,white
12750481,white
15368359,black
35986173,white
23297162,equal
9477911,equal
21533527,white
14684312,black
17821317,black
25485107,white
34827394,equal
14850813,equal
10136060,white
29650398,white
19720029,white
4055242,black
17770160,white
16532885,equal
5583596,white
22319247,equal
16941492,equal
8265289,equal
13612225,black
799751,white
18888627,equal
23638139,black
36326186,equal
35039574,white
26592729,white
7197919,equal
24344873,black
22617723,black
11337785,white
23055256,black
33995469,black
26043868,white
8742823,equal
22052384,white
18387141,white
14521797,black
32723622,equal
19019648,black
33955879,white
24558050,white
6655053,equal
3765181,white
11890294,white
18181835,black
33110424,black
6642977,black
15083557,white
21042956,black
25914950,white
17183602,white
17072824,black
26654735,white
18538947,white
32083043,black
983385,equal
11313230,equal
28780419,white
4904398,black
19873873,white
15615392,black
4825741,white
31112924,white
12607972,black
9963236,white
25047081,white
13806303,equal
5635370,equal
2877222,equal
8567066,white
23023669,white
16941747,black
24116211,black
6984017,white
12347206,white
23903488,equal
13758715,black
23646047,black
25197786,black
34157056,white
7418661,black
19936139,white
17851577,white
36244291,black
28257518,black
411100,equal
36240765,black
31048733,white
33328566,equal
8539768,black
8825738,equal
15397151,black
31529634,black
25643838,equal
28805393,white
16311080,equal
3575645,black
1805838,equal
30663373,white
5248182,white
21267107,white
11785278,equal
32770678,white
21859189,white
21527563,black
4832204,black
5030398,equal
1858443,equal
31106506,white
31636943,equal
1846698,equal
2904651,equal
6318600,black
35658369,black
17043569,white
10900888,white
5820532,black
8550446,equal
2226555,black
25636969,white
19793009,white
21948897,black
7657489,white
20192405,white
33380809,black
20474985,white
23487596,white
20507011,black
23165397,black
8080866,equal
16437095,white
27041854,black
27573819,black
35213665,white
30478662,black
34346848,equal
13774333,equal
33547785,equal
28731896,equal
29753898,black
30127240,black
2254107,black
17816538,equal
35121814,black
9158042,equal
26936588,black
18977867,black
34364239,white
2318686,black
18290368,equal
9683168,white
10824411,black
30263789,black
26052004,black
29414817,black
15955872,black
32147565,white
2402888,white
13854592,equal
37026322,black
22242343,black
11104736,black
30010964,white
36526306,black
25715082,equal
20998683,equal
30152607,white
3408777,black
8032776,equal
35180036,black
24499831,equal
32035921,black
20584532,black
32067800,white
11362496,white
8274016,white
6399152,white
22031113,white
27256805,white
36140495,white
33423008,equal
9133994,equal
7969525,white
25380334,equal
34109823,white
13107768,black
36648983,equal
657852,equal
22694204,white
5131751,equal
8755316,white
15362771,black
18527905,white
13622666,equal
22459240,white
5826191,white
35325187,white
17870654,equal
12713222,white
33184206,white
12943917,equal
4402707,black
3058260,black
27913112,white
34019195,white
14635836,white
32704674,black
20365916,white
24313540,white
9285641,equal
32084594,black
13607718,equal
24170157,black
5618779,white
29552100,white
24294968,white
2400286,black
19402331,black
27914664,white
30340759,black
10731893,white
6683005,black
26979937,black
29228162,white
30059432,black
30481238,black
14176952,white
32718676,equal
18623030,white
14017581,white
33165058,white
28401638,equal
12270191,equal
22691149,equal
12884209,white
36024208,white
21907362,white
31546962,white
14665612,equal
7679180,equal
29345173,equal
22792984,white
12395444,white
6055067,white
18671860,white
14015332,equal
26075582,white
7672917,equal
3880071,equal
15128715,black
8058630,black
31712960,equal
17623718,black
12180213,equal
7240769,black
17572363,equal
24432579,black
24037671,equal
12875903,equal
17055768,white
34713957,black
9184709,black
